name,iters,time,cycles,cpuTime,utime,stime,maxrss,minflt,majflt,nvcsw,nivcsw,allocated,numGcs,bytesCopied,mutatorWallSeconds,mutatorCpuSeconds,gcWallSeconds,gcCpuSeconds
delay-0ms-10k/streamly/ahead,1,7.823108e-3,17171030,2.1919e-2,1.8446743523953754e13,0.0,11231232,43,0,0,1866,19157064,7,567800,6.992508e-3,1.2547e-2,8.68826e-4,1.705e-3
delay-0ms-10k/streamly/async,1,2.888667e-3,6340390,8.009e-3,0.0,0.0,8548352,115,0,0,639,6226576,3,406368,2.335007e-3,4.281e-3,5.8788e-4,1.012e-3
delay-0ms-10k/streamly/wAsync,1,3.35367e-3,7361066,9.182e-3,0.0,0.0,8286208,39,0,0,759,6138592,3,501456,2.724152e-3,5.311e-3,6.73421e-4,1.051e-3
delay-0ms-10k/streamly/parallel,1,3.4026697e-2,74685784,0.128101,5.3209e-2,0.0,8192000,284,0,0,16318,38511360,21,586176,3.277256e-2,4.9074e-2,1.292141e-3,4.139e-3
delay-0ms-10k/async/mapConcurrently_,1,0.102942655,225950974,0.283168,0.0,0.0,44720128,237,0,0,49676,27354912,4,41959640,8.1194095e-2,5.6155e-2,2.1777354e-2,4.6231e-2
delay-0ms-10k/async/mapConcurrently,1,0.106134352,232956346,0.32516,0.0,0.0,43978752,5,0,0,47435,28611888,4,43082336,8.0088912e-2,5.8675e-2,2.6063088e-2,5.9374e-2
delay-5000ms-10k/streamly/ahead,1,5.118859767,11235483987,0.917453,0.493331,0.0,82583552,1195,0,0,75960,156264648,51,101073120,5.075728867,0.245021,4.3182075e-2,0.248315
delay-5000ms-10k/streamly/async,1,5.106016865,11207294432,0.783091,0.0,0.0,80814080,1756,0,0,63104,97359424,35,82441096,5.070896259,0.194127,3.5168931e-2,0.196822
delay-5000ms-10k/streamly/wAsync,1,5.118470964,11234630016,0.970231,0.0,0.0,78934016,1842,0,0,90149,96498184,37,88808432,5.076867817,0.236217,4.1653742e-2,0.234335
delay-5000ms-10k/streamly/parallel,1,5.081637598,11153783958,0.651253,0.0,0.0,78659584,1912,0,0,46609,86960896,36,70413688,5.051183316,0.160546,3.0500076e-2,0.182755
delay-5000ms-10k/async/mapConcurrently_,1,5.1253893,11249815398,0.865809,0.437165,0.0,120471552,3886,0,0,66619,94027096,52,116593720,5.080173687,0.192785,4.5288193e-2,0.244385
delay-5000ms-10k/async/mapConcurrently,1,5.130991298,11262111286,0.88274,0.0,0.0,128860160,1664,0,0,71051,102763712,59,127592512,5.088137359,0.196877,4.2868812e-2,0.252506
